chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
jfreechart-master.src.test.java.org.jfree.chart.renderer,xy,4855,1836,0.37816683831101955,58,0.00652011790191413
jfreechart-master.src.test.java.org.jfree.chart,renderer,1666,573,0.343937575030012,136,0.0025289527575736177
jfreechart-master.src.test.java.org.jfree.chart,swing,417,161,0.38609112709832133,4,0.09652278177458033
jfreechart-master.src.test.java.org.jfree.chart.text,format,348,152,0.4367816091954023,18,0.02426564495530013
jfreechart-master.src.test.java.org.jfree.chart,title,675,371,0.5496296296296296,8,0.0687037037037037
jfreechart-master.src.test.java.org.jfree.chart,urls,785,371,0.4726114649681529,11,0.042964678633468444
jfreechart-master.src.test.java.org.jfree,chart,3840,1536,0.4,512,7.8125E-4
jfreechart-master.src.test.java.org.jfree.data,category,1189,349,0.29352396972245587,7,0.041931995674636555
jfreechart-master.src.test.java.org.jfree.data,flow,285,155,0.543859649122807,3,0.18128654970760236
jfreechart-master.src.test.java.org.jfree.data,function,388,212,0.5463917525773195,4,0.13659793814432988
jfreechart-master.src.test.java.org.jfree.data,gantt,1073,348,0.32432432432432434,13,0.02494802494802495
jfreechart-master.src.test.java.org.jfree.data,general,2552,887,0.3475705329153605,29,0.011985190790184844
jfreechart-master.src.test.java.org.jfree.data,statistics,2311,834,0.36088273474686283,21,0.017184892130802994
jfreechart-master.src.test.java.org.jfree.data.time,ohlc,665,267,0.40150375939849625,4,0.10037593984962406
jfreechart-master.src.test.java.org.jfree.data,time,7187,2182,0.3036037289550577,49,0.006195994468470566
jfreechart-master.src.test.java.org.jfree.data,xy,5959,2270,0.3809363987246182,43,0.008858986016851587
jfreechart-master.src.test.java.org.jfree,data,2849,988,0.3467883467883468,197,0.0017603469380119128
