chemin, classe, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
jfreechart-master.src.test.java.org.jfree.chart.plot,RingPlotTest.java,143,53,0.3706293706293706,1,0.3706293706293706
jfreechart-master.src.test.java.org.jfree.chart.plot,SpiderWebPlotTest.java,295,82,0.27796610169491526,6,0.04632768361581921
jfreechart-master.src.test.java.org.jfree.chart.plot,ThermometerPlotTest.java,171,60,0.3508771929824561,3,0.11695906432748537
jfreechart-master.src.test.java.org.jfree.chart.plot,ValueMarkerTest.java,201,61,0.3034825870646766,3,0.1011608623548922
jfreechart-master.src.test.java.org.jfree.chart.plot,XYPlotTest.java,1290,261,0.20232558139534884,13,0.01556350626118068
jfreechart-master.src.test.java.org.jfree.chart.renderer,AbstractRendererTest.java,698,140,0.20057306590257878,63,0.0031836994587710918
jfreechart-master.src.test.java.org.jfree.chart.renderer,AreaRendererEndTypeTest.java,65,44,0.676923076923077,1,0.676923076923077
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,AbstractCategoryItemRendererTest.java,295,86,0.29152542372881357,4,0.07288135593220339
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,AreaRendererTest.java,138,58,0.42028985507246375,1,0.42028985507246375
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,BarRendererTest.java,264,81,0.3068181818181818,11,0.027892561983471075
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,BoxAndWhiskerRendererTest.java,494,107,0.2165991902834008,4,0.0541497975708502
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,CategoryStepRendererTest.java,119,57,0.4789915966386555,1,0.4789915966386555
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,DefaultCategoryItemRendererTest.java,97,53,0.5463917525773195,1,0.5463917525773195
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,GanttRendererTest.java,120,53,0.44166666666666665,1,0.44166666666666665
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,GradientBarPainterTest.java,97,51,0.5257731958762887,1,0.5257731958762887
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,GroupedStackedBarRendererTest.java,158,62,0.3924050632911392,1,0.3924050632911392
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,IntervalBarRendererTest.java,154,65,0.42207792207792205,1,0.42207792207792205
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,LayeredBarRendererTest.java,139,61,0.43884892086330934,1,0.43884892086330934
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,LevelRendererTest.java,181,74,0.4088397790055249,1,0.4088397790055249
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,LineAndShapeRendererTest.java,250,73,0.292,13,0.02246153846153846
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,MinMaxCategoryRendererTest.java,142,60,0.4225352112676056,1,0.4225352112676056
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,ScatterRendererTest.java,183,68,0.37158469945355194,5,0.07431693989071039
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,StackedAreaRendererTest.java,124,57,0.4596774193548387,1,0.4596774193548387
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,StackedBarRendererTest.java,125,57,0.456,1,0.456
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,StandardBarPainterTest.java,87,51,0.5862068965517241,1,0.5862068965517241
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,StatisticalBarRendererTest.java,258,89,0.3449612403100775,1,0.3449612403100775
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,StatisticalLineAndShapeRendererTest.java,176,68,0.38636363636363635,1,0.38636363636363635
jfreechart-master.src.test.java.org.jfree.chart.renderer.category,WaterfallBarRendererTest.java,172,100,0.5813953488372093,9,0.06459948320413438
jfreechart-master.src.test.java.org.jfree.chart.renderer,DefaultPolarItemRendererTest.java,94,50,0.5319148936170213,1,0.5319148936170213
jfreechart-master.src.test.java.org.jfree.chart.renderer,GrayPaintScaleTest.java,119,55,0.46218487394957986,1,0.46218487394957986
jfreechart-master.src.test.java.org.jfree.chart.renderer,LookupPaintScaleTest.java,166,58,0.3493975903614458,1,0.3493975903614458
jfreechart-master.src.test.java.org.jfree.chart.renderer,OutlierTest.java,98,54,0.5510204081632653,1,0.5510204081632653
jfreechart-master.src.test.java.org.jfree.chart.renderer,RendererChangeDetector.java,83,64,0.7710843373493976,8,0.0963855421686747
jfreechart-master.src.test.java.org.jfree.chart.renderer,RendererUtilsTest.java,343,108,0.31486880466472306,5,0.06297376093294461
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,AbstractXYItemRendererTest.java,160,64,0.4,1,0.4
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,CandlestickRendererTest.java,195,70,0.358974358974359,2,0.1794871794871795
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,ClusteredXYBarRendererTest.java,153,63,0.4117647058823529,1,0.4117647058823529
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,DeviationRendererTest.java,100,54,0.54,2,0.27
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,DeviationStepRendererTest.java,100,54,0.54,2,0.27
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,GradientXYBarPainterTest.java,97,51,0.5257731958762887,1,0.5257731958762887
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,HighLowRendererTest.java,157,63,0.4012738853503185,1,0.4012738853503185
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,RendererXYPackageUtils.java,81,50,0.6172839506172839,1,0.6172839506172839
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,StackedXYAreaRenderer2Test.java,158,62,0.3924050632911392,1,0.3924050632911392
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,StackedXYAreaRendererTest.java,201,65,0.32338308457711445,1,0.32338308457711445
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,StackedXYBarRendererTest.java,154,61,0.3961038961038961,1,0.3961038961038961
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,StandardXYBarPainterTest.java,87,51,0.5862068965517241,1,0.5862068965517241
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,StandardXYItemRendererTest.java,224,64,0.2857142857142857,1,0.2857142857142857
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,VectorRendererTest.java,102,55,0.5392156862745098,2,0.2696078431372549
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,WindItemRendererTest.java,94,53,0.5638297872340425,1,0.5638297872340425
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYAreaRenderer2Test.java,179,64,0.3575418994413408,1,0.3575418994413408
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYAreaRendererTest.java,216,63,0.2916666666666667,7,0.04166666666666667
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYBarRendererTest.java,325,90,0.27692307692307694,9,0.03076923076923077
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYBlockRendererTest.java,188,72,0.3829787234042553,2,0.19148936170212766
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYBoxAndWhiskerRendererTest.java,150,58,0.38666666666666666,3,0.1288888888888889
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYBubbleRendererTest.java,147,57,0.3877551020408163,1,0.3877551020408163
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYDifferenceRendererTest.java,180,65,0.3611111111111111,15,0.024074074074074074
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYDotRendererTest.java,153,58,0.3790849673202614,1,0.3790849673202614
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYErrorRendererTest.java,167,70,0.41916167664670656,1,0.41916167664670656
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYLineAndShapeRendererTest.java,262,66,0.25190839694656486,1,0.25190839694656486
jfreechart-master.src.test.java.org.jfree.chart.renderer.xy,XYShapeRendererTest.java,159,56,0.3522012578616352,1,0.3522012578616352
