chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
data.jfreechart-master.src.test.java.org.jfree.chart.plot,compass,885,518,0.5853107344632769,13,0.0450239026510213
data.jfreechart-master.src.test.java.org.jfree.chart.plot,dial,1739,733,0.4215066129959747,38,0.011092279289367755
data.jfreechart-master.src.test.java.org.jfree.chart.plot,flow,242,62,0.256198347107438,1,0.256198347107438
data.jfreechart-master.src.test.java.org.jfree.chart.plot,pie,875,240,0.2742857142857143,11,0.024935064935064935
data.jfreechart-master.src.test.java.org.jfree.chart,plot,6376,1868,0.2929736511919699,164,0.0017864247023900602
data.jfreechart-master.src.test.java.org.jfree.chart.renderer,category,3770,1431,0.3795755968169761,61,0.006222550767491412
data.jfreechart-master.src.test.java.org.jfree.chart.renderer,xy,4844,1836,0.3790255986787779,73,0.005192131488750382
data.jfreechart-master.src.test.java.org.jfree.chart,renderer,1656,573,0.34601449275362317,215,0.0016093697337377822
data.jfreechart-master.src.test.java.org.jfree.chart,swing,417,161,0.38609112709832133,4,0.09652278177458033
data.jfreechart-master.src.test.java.org.jfree.chart.text,format,347,152,0.43804034582132567,18,0.024335574767851427
data.jfreechart-master.src.test.java.org.jfree.chart,title,675,371,0.5496296296296296,10,0.054962962962962957
data.jfreechart-master.src.test.java.org.jfree.chart,urls,785,371,0.4726114649681529,11,0.042964678633468444
data.jfreechart-master.src.test.java.org.jfree,chart,3822,1536,0.40188383045525905,650,6.18282816085014E-4
data.jfreechart-master.src.test.java.org.jfree.data,category,1189,349,0.29352396972245587,7,0.041931995674636555
data.jfreechart-master.src.test.java.org.jfree.data,flow,282,155,0.549645390070922,3,0.18321513002364065
data.jfreechart-master.src.test.java.org.jfree.data,function,388,212,0.5463917525773195,5,0.1092783505154639
data.jfreechart-master.src.test.java.org.jfree.data,gantt,1073,348,0.32432432432432434,13,0.02494802494802495
data.jfreechart-master.src.test.java.org.jfree.data,general,2535,887,0.34990138067061144,28,0.012496477881093265
data.jfreechart-master.src.test.java.org.jfree.data,statistics,2310,834,0.36103896103896105,22,0.01641086186540732
data.jfreechart-master.src.test.java.org.jfree.data.time,ohlc,665,267,0.40150375939849625,4,0.10037593984962406
data.jfreechart-master.src.test.java.org.jfree.data,time,7129,2182,0.30607378313929023,51,0.006001446728221377
data.jfreechart-master.src.test.java.org.jfree.data,xy,5944,2270,0.38189771197846567,46,0.008302124173444905
data.jfreechart-master.src.test.java.org.jfree,data,2847,988,0.3470319634703196,214,0.001621644689113643
